year,Rec,UL,LL
1978,416496,599348.74,279286.085
1979,528570,768795.65,348036.645
1980,865642,1279580.25,552370.245
1981,502222,687780.115,347316.665
1982,740674,994665,459727.515
1983,953341,1355078.25,671137.865
1984,566287,769655.56,373890.96
1985,364627,490344.66,245603.335
1986,362713,529801.9,245395.53
1987,1115750,1568126.6,769323.05
1988,795939,1135855.35,568746.95
1989,252799,352414.805,182265.72
1990,652062,924002.15,459454.65
1991,227988,305704.88,172224.255
1992,741597,929938.8,576444.59
1993,421759,536418.4,344273.655
1994,822409,1043841.85,626124.685
1995,1005457,1298042.95,818081.65
1996,1021531,1289935.2,763429.675
1997,699423,842236.25,552368.59
1998,1497125,2208672.85,1139778.825
1999,1229348,1831407.95,917233.27
2000,1418093,2001507.4,1025364.1
2001,941101,1291412.7,753647.94
2002,885800,1166409.7,656061.37
2003,558209,813803.86,390638.82
2004,2327600,3034072.95,1686172.1
2005,1815732,2394590.75,1313006.85
2006,1799045,2523721.9,1381232.95
2007,1267959,1627171.85,922914.9
2008,740930,982543.2,582101.725
2009,1153191,1475272.05,914337.35
2010,900473,1183416.75,691917.955
2011,610895,791568.45,464691.295
2012,825978,1102581.1,616435.895
2013,670586,847763.55,489994.47
2014,244932,333702.26,186747.785
2015,329701,457538.195,231299.58
2016,301768,423747.93,208163.235
2017,274937,412824.63,191459.61
2018,548889,824840,344520.005
2019,427516,1266409.2,123070.55
