year,Rec,UL,LL
1978,201589,423045.55,112948.05
1979,474324,992570.2,257177.65
1980,642560,1269828,362103.05
1981,501087,996269.75,298273.4
1982,540509,1032243.5,335249.85
1983,238371,435243.05,157951.65
1984,162906,288859.85,109507.65
1985,217545,394962.25,146803.25
1986,298582,553787.45,195495.55
1987,420411,802808.1,261683.55
1988,981131,1852232.5,614894.2
1989,469101,874754.3,308393.55
1990,312964,582688.85,202852.9
1991,993399,1848197,672171.45
1992,129643,244392.75,87819.935
1993,250128,490367.4,167876.95
1994,229985,449844.25,154089.25
1995,242907,500224.25,159384.05
1996,253509,541153.6,167255
1997,344540,718286.55,230923.45
1998,162685,342686.3,108149.9
1999,216297,466405.9,138281.55
2000,117873,271691.5,72317.465
2001,261430,604226.9,155700.55
2002,182912,429334.85,103647
2003,249631,581919.4,140488.2
2004,302975,691953.7,171726.4
2005,303589,687435.8,170551.5
2006,394135,862912.7,223992.6
2007,265814,565712.2,162737.25
2008,276861,562028.4,173997.9
2009,196280,398347.3,122397.25
2010,161122,323669.45,102755.8
2011,137046,272361.6,88846
2012,145516,288282.35,93556.28
2013,279728,538292.05,175761.35
2014,138878,272649.4,88173.77
2015,143420,290855.85,89541.205
2016,131183,266336.5,79152.415
2017,107558,235775.05,63779.835
2018,42072,108577,20778.76
2019,168364,528236,61427.05
